May 31 13:51:54.687 [info] circuit_build_times_set_timeout(): Based on 1000 circuit times, it looks like we don't need to wait so long for circuits to finish. We will now assume a circuit is too slow to use after waiting 1125 milliseconds.
May 31 13:53:22.391 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 1144ms (1143.601833ms, 60000.000000ms, Xm: 373, a: 1.436537, r: 0.196000) based on 1000 circuit times
May 31 13:53:23.340 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 1147ms (1147.041351ms, 60000.000000ms, Xm: 371, a: 1.425872, r: 0.196000) based on 1000 circuit times
May 31 13:53:23.697 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 1148ms (1147.600334ms, 60000.000000ms, Xm: 371, a: 1.425257, r: 0.196000) based on 1000 circuit times
May 31 13:53:23.698 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 1152ms (1151.683313ms, 60000.000000ms, Xm: 371, a: 1.420789, r: 0.197000) based on 1000 circuit times
May 31 13:53:23.699 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 1155ms (1155.178913ms, 60000.000000ms, Xm: 371, a: 1.416998, r: 0.197000) based on 1000 circuit times
May 31 13:53:23.860 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 1156ms (1156.135529ms, 60000.000000ms, Xm: 371, a: 1.415966, r: 0.198000) based on 1000 circuit times
May 31 13:53:24.158 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 1155ms (1154.781603ms, 60000.000000ms, Xm: 371, a: 1.417427, r: 0.198000) based on 1000 circuit times
May 31 14:02:26.859 [info] circuit_build_times_set_timeout(): Based on 100 circuit times, it looks like we don't need to wait so long for circuits to finish. We will now assume a circuit is too slow to use after waiting 1851 milliseconds.
May 31 14:02:26.859 [info] circuit_build_times_set_timeout(): Circuit timeout data: 1851.057593ms, 60000.000000ms, Xm: 516, a: 1.259927, r: 0.230000
May 31 14:02:27.225 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 1833ms (1832.960283ms, 60000.000000ms, Xm: 516, a: 1.269693, r: 0.247525) based on 101 circuit times
May 31 14:02:27.836 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 1817ms (1817.491445ms, 60000.000000ms, Xm: 505, a: 1.256731, r: 0.254902) based on 102 circuit times
May 31 14:02:47.999 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 1795ms (1795.033507ms, 60000.000000ms, Xm: 505, a: 1.269052, r: 0.252427) based on 103 circuit times
May 31 14:02:48.251 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 1776ms (1776.440227ms, 60000.000000ms, Xm: 504, a: 1.277544, r: 0.250000) based on 104 circuit times
May 31 14:02:49.096 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 1762ms (1761.653635ms, 60000.000000ms, Xm: 493, a: 1.263792, r: 0.247619) based on 105 circuit times
May 31 14:02:49.187 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 1770ms (1770.002407ms, 60000.000000ms, Xm: 493, a: 1.259117, r: 0.245283) based on 106 circuit times
May 31 14:02:50.249 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 1793ms (1792.943912ms, 60000.000000ms, Xm: 493, a: 1.246558, r: 0.252336) based on 107 circuit times
May 31 14:02:52.735 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 1821ms (1820.560933ms, 60000.000000ms, Xm: 493, a: 1.231973, r: 0.259259) based on 108 circuit times
May 31 14:02:54.191 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 1800ms (1800.082852ms, 60000.000000ms, Xm: 493, a: 1.242734, r: 0.256881) based on 109 circuit times
May 31 14:02:56.826 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 1801ms (1801.175145ms, 60000.000000ms, Xm: 493, a: 1.242152, r: 0.254545) based on 110 circuit times
May 31 14:02:56.895 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 1804ms (1803.708498ms, 60000.000000ms, Xm: 493, a: 1.240806, r: 0.252252) based on 111 circuit times
May 31 14:02:59.059 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 1854ms (1853.668447ms, 60000.000000ms, Xm: 493, a: 1.215209, r: 0.232143) based on 112 circuit times
May 31 14:03:00.241 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 1835ms (1834.687880ms, 60000.000000ms, Xm: 493, a: 1.224726, r: 0.247788) based on 113 circuit times
May 31 14:03:01.241 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 1843ms (1843.262775ms, 60000.000000ms, Xm: 493, a: 1.220396, r: 0.236842) based on 114 circuit times
May 31 14:03:02.673 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 1840ms (1839.877679ms, 60000.000000ms, Xm: 493, a: 1.222099, r: 0.243478) based on 115 circuit times
May 31 14:03:05.150 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 1822ms (1822.333781ms, 60000.000000ms, Xm: 489, a: 1.223432, r: 0.250000) based on 116 circuit times
May 31 14:03:08.343 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 1864ms (1863.665658ms, 60000.000000ms, Xm: 489, a: 1.202924, r: 0.230769) based on 117 circuit times
May 31 14:03:16.708 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 1864ms (1863.665658ms, 60000.000000ms, Xm: 489, a: 1.202924, r: 0.237288) based on 118 circuit times
May 31 14:03:25.381 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 1844ms (1843.922736ms, 60000.000000ms, Xm: 495, a: 1.223821, r: 0.243697) based on 119 circuit times
May 31 14:03:27.431 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 1831ms (1831.065037ms, 60000.000000ms, Xm: 495, a: 1.230367, r: 0.250000) based on 120 circuit times
May 31 14:03:27.899 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 1831ms (1831.440845ms, 60000.000000ms, Xm: 495, a: 1.230174, r: 0.247934) based on 121 circuit times
May 31 14:03:28.111 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 1836ms (1836.103226ms, 60000.000000ms, Xm: 495, a: 1.227788, r: 0.245902) based on 122 circuit times
May 31 14:03:30.149 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 1816ms (1816.480611ms, 60000.000000ms, Xm: 495, a: 1.237935, r: 0.252033) based on 123 circuit times
May 31 14:03:31.573 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 1828ms (1828.081188ms, 60000.000000ms, Xm: 495, a: 1.231903, r: 0.241935) based on 124 circuit times
May 31 14:03:35.152 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 1882ms (1881.826827ms, 60000.000000ms, Xm: 495, a: 1.205174, r: 0.232000) based on 125 circuit times
May 31 14:03:41.353 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 1858ms (1858.368891ms, 60000.000000ms, Xm: 504, a: 1.233401, r: 0.230159) based on 126 circuit times
May 31 14:03:44.191 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 1842ms (1842.166146ms, 60000.000000ms, Xm: 500, a: 1.234147, r: 0.244094) based on 127 circuit times
May 31 14:03:50.119 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 1831ms (1830.641039ms, 60000.000000ms, Xm: 490, a: 1.221106, r: 0.242188) based on 128 circuit times
May 31 14:03:50.203 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 1813ms (1813.422869ms, 60000.000000ms, Xm: 488, a: 1.226093, r: 0.248062) based on 129 circuit times
May 31 14:03:50.345 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 1804ms (1804.015051ms, 60000.000000ms, Xm: 477, a: 1.209873, r: 0.253846) based on 130 circuit times
May 31 14:03:50.626 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 1797ms (1796.921694ms, 60000.000000ms, Xm: 477, a: 1.213467, r: 0.251908) based on 131 circuit times
May 31 14:03:50.714 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 1793ms (1792.822799ms, 60000.000000ms, Xm: 477, a: 1.215560, r: 0.250000) based on 132 circuit times
May 31 14:03:50.979 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 1747ms (1746.583163ms, 60000.000000ms, Xm: 554, a: 1.401642, r: 0.248120) based on 133 circuit times
May 31 14:03:53.224 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 1751ms (1751.449159ms, 60000.000000ms, Xm: 554, a: 1.398254, r: 0.246269) based on 134 circuit times
